"Town","FIPS","Year","Measure Type","Variable","Value"
"Voluntown","0901178600","2000","Number","Murder",0
"Wallingford","0900978740","2000","Number","Murder",1
"Warren","0900579510","2000","Number","Murder",0
"Washington","0900579720","2000","Number","Murder",0
"Waterbury","0900980070","2000","Number","Murder",12
"Waterford","0901180280","2000","Number","Murder",0
"Watertown","0900580490","2000","Number","Murder",0
"West Hartford","0900382590","2000","Number","Murder",1
"West Haven","0900982870","2000","Number","Murder",2
"Westbrook","0900781680","2000","Number","Murder",0
"Weston","0900183430","2000","Number","Murder",0
"Westport","0900183500","2000","Number","Murder",0
"Wethersfield","0900384900","2000","Number","Murder",0
"Willington","0901385950","2000","Number","Murder",0
"Wilton","0900186370","2000","Number","Murder",0
"Winchester","0900586440","2000","Number","Murder",0
"Windham","0901586790","2000","Number","Murder",0
"Windsor","0900387000","2000","Number","Murder",1
"Windsor Locks","0900387070","2000","Number","Murder",0
"Wolcott","0900987560","2000","Number","Murder",0
"Woodbridge","0900987700","2000","Number","Murder",0
"Woodbury","0900587910","2000","Number","Murder",0
"Woodstock","0901588190","2000","Number","Murder",0
"Andover","0901301080","2001","Number","Murder",0
"Ansonia","0900901220","2001","Number","Murder",0
"Ashford","0901501430","2001","Number","Murder",0
"Avon","0900302060","2001","Number","Murder",0
"Barkhamsted","0900502760","2001","Number","Murder",0
"Beacon Falls","0900903250","2001","Number","Murder",0
"Berlin","0900304300","2001","Number","Murder",0
"Bethany","0900904580","2001","Number","Murder",0
"Bethel","0900104720","2001","Number","Murder",0
"Bethlehem","0900504930","2001","Number","Murder",0
"Bloomfield","0900305910","2001","Number","Murder",0
"Bolton","0901306260","2001","Number","Murder",0
"Bozrah","0901106820","2001","Number","Murder",0
"Branford","0900907310","2001","Number","Murder",0
"Bridgeport","0900108070","2001","Number","Murder",15
"Bridgewater","0900508210","2001","Number","Murder",0
"Bristol","0900308490","2001","Number","Murder",2
"Brookfield","0900108980","2001","Number","Murder",0
"Brooklyn","0901509190","2001","Number","Murder",0
"Burlington","0900310100","2001","Number","Murder",0
"Canaan","0900510940","2001","Number","Murder",0
